corpus	text	refind	label	description	class	relations	notes
cypgreek	jitros	0001	king	father of 0002	hum		
cypgreek	jitros	0002	son	son of 0001	hum		
cypgreek	jitros	0003	palace	of 0001	loc		
cypgreek	jitros	0004	servant		hum		
cypgreek	jitros	0005	mattress		inm		
cypgreek	jitros	0006	breakfast		inm		
cypgreek	jitros	0007	milk		mss		
cypgreek	jitros	0008	noon		tme		
cypgreek	jitros	0009	lunch		inm		
cypgreek	jitros	0010	night		tme		
cypgreek	jitros	0011	dinner		inm		
cypgreek	jitros	0012	queen	mother of 0002	hum		
cypgreek	jitros	0013	heart	of 0001	bdp	M 0001	
cypgreek	jitros	0014	staircase		loc		
cypgreek	jitros	0015	it		abs		
cypgreek	jitros	0016	workers		hum		
cypgreek	jitros	0017	builders		hum		
cypgreek	jitros	0018	tomorrow		tme		
cypgreek	jitros	0019	they		hum	> 0016, 0017	
cypgreek	jitros	0020	kingdom		loc		
cypgreek	jitros	0021	palace	for 0002	loc		
cypgreek	jitros	0022	fifteen days		tme		
cypgreek	jitros	0023	balconies		loc		
cypgreek	jitros	0024	terraces		loc		
cypgreek	jitros	0025	apple		inm		
cypgreek	jitros	0026	terrace	one of 0024	loc	M 0024	
cypgreek	jitros	0027	breakfast		inm		
cypgreek	jitros	0028	old woman		hum		
cypgreek	jitros	0029	pot		inm		
cypgreek	jitros	0030	fountain		loc		
cypgreek	jitros	0031	daughter	of Jitros of Jitromilos	hum		
cypgreek	jitros	0032	breakfast	second breakfast	inm		
cypgreek	jitros	0033	lunch	second lunch	inm		
cypgreek	jitros	0034	dinner	second dinner	inm		
cypgreek	jitros	0035	news		abs		
cypgreek	jitros	0036	messages		abs		
cypgreek	jitros	0037	horse	of 0002	anm		
cypgreek	jitros	0038	eyes	of 0039	bdp	M 0039	
cypgreek	jitros	0039	dragon		anm		
cypgreek	jitros	0040	three	of 0038	bdp	< 0038	
cypgreek	jitros	0041	one	first of 0040	bdp	< 0038, 0040	
cypgreek	jitros	0042	water	request by 0043	mss		depicted reality
cypgreek	jitros	0043	she	the first girl	hum		
cypgreek	jitros	0044	other one	second of 0040	bdp	< 0038, 0040	depicted reality
cypgreek	jitros	0045	two	of 0040	bdp	< 0038, 0040	depicted reality
cypgreek	jitros	0046	other one	the second girl	hum		
cypgreek	jitros	0047	water	request by 0046	mss		depicted reality
cypgreek	jitros	0048	reservoir		loc		
cypgreek	jitros	0049	her	third of 0040	inm	< 0038, 0040	
cypgreek	jitros	0050	water	request by 0051	mss		depicted reality
cypgreek	jitros	0051	she	the third girl	hum		
cypgreek	jitros	0052	back	of the horse	bdp	M 0037	
cypgreek	jitros	0053	wedding		inm		
cypgreek	jitros	0054	dowry		inm		
cypgreek	jitros	0055	things		inm		
cypgreek	jitros	0056	queen	mother of 0002	hum		depicted reality
cypgreek	jitros	0057	us	parents of 0002	hum	> 0001, 0012	depicted reality
cypgreek	jitros	0058	doctor		hum		depicted reality
cypgreek	jitros	0059	we	queen and son	hum	> 0002, 0012	depicted reality
cypgreek	jitros	0060	food		mss		depicted reality
cypgreek	jitros	0061	other son	son of 0062	hum		depicted reality
cypgreek	jitros	0062	other king	father 0061	hum		depicted reality
cypgreek	jitros	0063	palace	of 0061	loc		depicted reality
cypgreek	jitros	0064	balcony	of 0061	loc		depicted reality
cypgreek	jitros	0065	terrace	of 0061	loc		depicted reality
cypgreek	jitros	0066	golden apple	of 0061	inm		depicted reality
cypgreek	jitros	0067	sword	of 0061	inm		depicted reality
cypgreek	jitros	0068	bible	of 0061	inm		depicted reality
cypgreek	jitros	0069	home	of 0028	loc		depicted reality
cypgreek	jitros	0070	daughter	of Jitros of Jitromilos	hum		depicted reality
cypgreek	jitros	0071	headache		inm		depicted reality
cypgreek	jitros	0072	fiancée		hum		depicted reality
cypgreek	jitros	0073	head	of 0002	bdp	M 0002	depicted reality
cypgreek	jitros	0074	village		loc		depicted reality
cypgreek	jitros	0075	reservoir		loc		depicted reality
cypgreek	jitros	0076	bitter orange tree		inm		depicted reality
cypgreek	jitros	0077	dragon		anm		depicted reality
cypgreek	jitros	0078	horse	of 0002	anm		depicted reality
cypgreek	jitros	0079	eyes	of 0077	bdp	M 0077	depicted reality
cypgreek	jitros	0080	three	of 0079	bdp	< 0079	depicted reality
cypgreek	jitros	0081	one	first of 0080	bdp	< 0079, 0080	depicted reality
cypgreek	jitros	0082	girl	the first girl	hum		depicted reality
cypgreek	jitros	0083	water	request by 0082	mss		depicted reality
cypgreek	jitros	0084	other one	second of 0080	bdp	< 0079, 0080	depicted reality
cypgreek	jitros	0085	other one	third of 0080	bdp	< 0079, 0080	depicted reality
cypgreek	jitros	0086	water	request by the third girl	mss		depicted reality
cypgreek	jitros	0087	dowry		inm		depicted reality
cypgreek	jitros	0088	furniture		inm		depicted reality
cypgreek	jitros	0089	breakfast		inm		
cypgreek	minaes	0001	rich sister		hum		
cypgreek	minaes	0002	poor sister		hum		
cypgreek	minaes	0003	three children	three children of the poor sister	hum		children of 002
